ID,List,Age,Gender,NatLang_AE,KnowOtherLang,GrewUpWithOtherLangInHousehould,LangDis,Vocab,Vocab.MedSplit,ART(Hit-FalseAl),ART.MedSplit,MeanAcc_Total,Condition,Coherence,Ambiguity,Accuracy,TrialDwell,KEY_FF,KEY_GazeDur,KEY_RegrPath,KEY_ProbRegrOut,KEY_SecPass,COHCUE_FF,COHCUE_GazeDur,COHCUE_RegrPath,COHCUE_ProbRegrOut,COHCUE_SecPass,SPILLOVER_FF,SPILLOVER_GazeDur,SPILLOVER_RegrPath,SPILLOVER_ProbRegrOut,SPILLOVER_SecPass
s093,1,20,m,1,0,0,0,73,high,19,high,0.829181495,Coh_UA,Coh,UA,1,4019.5,224.3333333,224.3333333,255.7777778,0.111111111,NA,275.7272727,275.7272727,332.1818182,0.090909091,263,366.75,488.9166667,842.5833333,0.333333333,291.3333333
s094,2,20,f,1,0,0,0,60,low,10,low,0.701067616,Coh_UA,Coh,UA,0.833333333,2596.5,208.7777778,208.7777778,228.8888889,0.111111111,NA,213.6666667,229.8888889,229.8888889,0,258.5,311,328.3,456.9,0.3,500.6
s096,4,22,f,1,0,0,0,66,high,3,low,0.701067616,Coh_UA,Coh,UA,1,4457.943662,260.3333333,279.5555556,296.7777778,0.111111111,187,247.3636364,340.0909091,370.3636364,0.090909091,NA,320,502.3636364,664.6363636,0.181818182,314.25
s098,2,18,f,1,0,0,0,67,high,15,high,0.850533808,Coh_UA,Coh,UA,0.833333333,3242,215.125,215.125,215.125,0,136,255.2222222,255.2222222,255.2222222,0,113,349.1,483,512.6,0.2,NA
s099,3,23,f,1,0,0,0,72,high,15,high,0.918149466,Coh_UA,Coh,UA,1,3077,244.4,258.2,258.2,0,290.5,224.1111111,224.1111111,224.1111111,0,84,252.2727273,375.8181818,695.9090909,0.545454545,224
s100,3,22,f,1,0,0,0,63,low,0,low,0.896797153,Coh_UA,Coh,UA,0.909090909,4003.3,209.2,494.3,526.6,0.1,95,189.9,298.8,335.1,0.1,178,208.8,317.6,317.6,0,256
s101,2,20,f,1,0,0,0,70,high,12,low,0.765124555,Coh_UA,Coh,UA,0.916666667,3600.909091,260.7777778,277.8888889,308.5555556,0.111111111,226,275.2,275.2,295.9,0.1,NA,280.7272727,381.0909091,548.3636364,0.272727273,336
s001,1,18,f,1,0,0,0,70,high,22,high,0.722419929,Coh_Amb,Coh,Amb,0.25,3114.333333,216,216,216,0,NA,261,261,351,0.5,NA,447.6666667,539.3333333,539.3333333,0,176
s002,2,19,f,1,0,0,0,65,low,17,high,0.850533808,Coh_Amb,Coh,Amb,0.818181818,3315,201.625,201.625,264.5,0,327,186.125,186.125,186.125,0,280.75,171.125,222.75,254.5,0.125,233.4
s003,3,19,f,1,0,0,0,58,low,20,high,0.854092527,Coh_Amb,Coh,Amb,0.76056338,2634.666667,181.5,181.5,181.5,0,221,202.25,202.25,741.75,0.5,NA,171.8571429,171.8571429,483.2857143,0,NA
s004,4,19,f,1,0,0,0,59,low,11,low,0.786476868,Coh_Amb,Coh,Amb,0.916666667,3283.454545,208.875,208.875,264.5,0.125,213.3333333,288,288,288,0,219.3333333,324.2727273,339.4545455,656.1818182,0.454545455,201
s005,1,22,f,1,0,0,0,56,low,4,low,0.679715302,Coh_Amb,Coh,Amb,0.416666667,4776.8,316.8,450,450,0,154,238,428.25,670.25,0.25,227,223,417.8,605.4,0.2,231
s006,2,21,f,1,0,0,0,52,low,7,low,0.829181495,Coh_Amb,Coh,Amb,0.727272727,4854.625,256.375,256.375,402.75,0.125,238.75,236,236,236,0,260.5,311.25,563.5,1181,0.375,317.6
s007,3,22,f,1,0,0,0,74,high,17,high,0.871886121,Coh_Amb,Coh,Amb,0.746478873,5247.773585,211,242.625,329,0.25,273.3333333,248.7777778,303.8888889,377.2222222,0.222222222,268.4,298.875,397.625,1416.625,0.5,459.1666667
